type,user-id,content,date
推,heinse,山本要投滿九局，然後問天嗎？,10/09 09:01
推,sy2es6409,頭,10/09 09:01
推,matico,愛山本,10/09 09:01
推,JoAdell,沒有3:0 不要不信,10/09 09:01
推,s83106,希望是愛山本打線,10/09 09:02
→,johnwu,今天是愛山本打線?,10/09 09:02
推,kenQQ,影帝回來 宇宙躲不讓了,10/09 09:02
推,kevin17872,道奇加油,10/09 09:02
推,basala5417,今天又要涼平了嗎,10/09 09:02
推,gotohikaru,山本季後賽援護率不錯啦,10/09 09:02
推,yksltpcc,由伸加油！！,10/09 09:03
推,TiauEX,山本能....贏吧?,10/09 09:03
推,allgking,未看先猜投手戰,10/09 09:03
推,Icestorm,http://i.imgur.com/FA9ANOt.jpg,10/09 09:04
推,saiulbb,費城加油，我要看第四戰,10/09 09:04
→,benboy,我躲能不能今天晉級呢,10/09 09:04
推,adad48362,超級賀南德茲兄弟,10/09 09:04
→,Icestorm,http://i.imgur.com/ogPQVsZ.jpg,10/09 09:04
推,SmonSo,山本還是努力完投吧,10/09 09:05
→,adad48362,山本的皮膚也太糟了吧XD,10/09 09:05
推,Yuko300,今天雙響大谷,10/09 09:05
推,jasop,愛山本,10/09 09:05
推,gilbertmac,既希望道奇能儘快贏下來 又希望連假有比賽看,10/09 09:05
推,asd7530297,有山本 有公 歐耶,10/09 09:06
推,Blackie9211,山本加油,10/09 09:06
推,randy2903,道奇完整打線怎麼輸,10/09 09:06
推,inschool,衝阿,10/09 09:06
推,SHOTN17,今年這援護率讓油雞傷透了心 皮膚都變差了QAQ,10/09 09:07
推,zsincerity,記者很讚,10/09 09:07
推,bada,亞馬摩托 車過去,10/09 09:07
推,mictoaety,山本先發是不是等8局再看就好,10/09 09:07
推,max5209,道奇加油 今天就收工!,10/09 09:08
推,myeunji,防禦率高的道奇反而不會打，今天能突破嗎,10/09 09:08
推,hpfan,山本加油啊,10/09 09:08
推,love088195,山本加油,10/09 09:08
推,a3s5d6f4,敢不敢完投9局！,10/09 09:09
推,sky419012,剛剛是獵人的BGM？,10/09 09:09
推,foxy0703,山本先發對方投手會有賽揚靈氣,10/09 09:09
推,nigatsuki,Kike照片跟本人太不像 一度想說誰啊,10/09 09:09
推,yufat,豬肝色配天藍色 真的不敢恭維,10/09 09:09
推,carlchang092,居然用點的,10/09 09:10
推,TiauEX,這什麼招,10/09 09:10
推,jiaxie,失敗的短打,10/09 09:10
推,zego41,只能先拚上壘了,10/09 09:10
推,inschool,短棒?,10/09 09:10
推,SHOTN17,謝謝TT,10/09 09:10
推,centtong,投給你點,10/09 09:10
推,zxcghjko,GO,10/09 09:10
推,yugowolf,點這球是搞笑？,10/09 09:10
→,zxcghjko,短打送頭,10/09 09:10
→,realmd,覺的自已腿快嗎,10/09 09:10
推,yangtsur,大谷氣條該集滿了吧,10/09 09:10
推,visviva,是怎樣XD,10/09 09:10
推,disasterD,送頭？？？,10/09 09:10
推,c251970,Nola加油！,10/09 09:10
推,rainbowcrash,費城人在幹嘛==,10/09 09:10
推,KWBilly,居然用點的，這第一棒欸,10/09 09:10
推,mmckiedd,也點太爛,10/09 09:10
推,murmur38,洗碗伯出場被噓,10/09 09:10
推,spark12,教練下達的戰術吧,10/09 09:10
→,centtong,省省省,10/09 09:10
→,yufat,上次費城穿這套是1983年,10/09 09:10
→,inschool,省,10/09 09:10
推,pett,點什麼？,10/09 09:10
→,jiaxie,全壘打領先者，就洗碗伯敲不出來,10/09 09:10
推,Rentch,球找棒子XD感覺不是真的想點,10/09 09:10
推,woddy,一球死，帥,10/09 09:10
→,SHOTN17,省 = =,10/09 09:10
推,nepenthes7,洗碗伯,10/09 09:10
→,etset,今天會派愛山本連線嗎,10/09 09:10
推,TP62842UL3,教練說不要揮大棒，好的 短打,10/09 09:10
推,hank61910,四球兩出局,10/09 09:10
推,cool8418,水啦 省,10/09 09:10
推,lmf770410,省,10/09 09:10
→,zxcghjko,一球死,10/09 09:10
→,yugowolf,一開賽就聞到放假的味道,10/09 09:10
推,jm32n,如風,10/09 09:10
推,daydreamer13,省爆,10/09 09:10
→,a3s5d6f4,洗碗伯幫省,10/09 09:10
推,pandergast,這在守備練習嗎,10/09 09:10
推,Axwell,好快,10/09 09:10
→,foxy0703,省球 好的開始,10/09 09:10
推,JEFFTAY,山本加油！,10/09 09:11
推,cyn2,趕下班,10/09 09:11
推,zsincerity,這補位速度全球第一,10/09 09:11
推,angelmax,只想揮大棒 好喔,10/09 09:11
→,pett,這進攻會不會太積極了,10/09 09:11
→,nepenthes7,幫山本省球數他就要完投啦,10/09 09:11
推,Nongem417,省,10/09 09:11
→,visviva,山本應該也可以盜壘(?,10/09 09:11
→,daydreamer13,前兩出局真的是像守備練習,10/09 09:11
→,SHOTN17,指叉高起來了,10/09 09:11
→,disasterD,還幫山本省球 謝謝,10/09 09:11
→,hydra7,費城趕下班喔？,10/09 09:11
→,lmf770410,這球危險,10/09 09:11
→,sooder,第一球有點危險,10/09 09:11
推,Montrealais,一棒用點的？真細膩野球,10/09 09:11
推,ejonlj,怎麼感覺今天轉播 投手跟打者比較大隻,10/09 09:11
→,daydreamer13,曲球忍住,10/09 09:11
→,mmckiedd,抖了一下,10/09 09:11
→,yufat,好曲 可惜,10/09 09:11
→,daydreamer13,真能忍,10/09 09:12
→,Largebird,EEEEE,10/09 09:12
推,benson502,我也覺得山本變大隻,10/09 09:12
推,lmc66,出局如風,10/09 09:12
推,alexhsu0909,山本會補位耶,10/09 09:12
→,Largebird,錯頻XD,10/09 09:12
推,zego41,哈潑今天有耐心,10/09 09:12
