標題,網址,價格,課能內容
AIGC工程師的第一門課：整合生成式AI系統,https://courses.taiwanmds.com/product/information?p=9fd5416d7f9b11efb3480242ac110002,"NT$2,088",搭上現今AIGC熱潮與職場龐大需求，本課程以「AIGC工程師」為著手點，課程內容不僅包含了硬知識，例如 Python 程式、AI 工具 API 應用與 Streamlit 前端建置，並將以職場的行銷實務案例貫穿全課程。不只有單純的程式撰寫，更是結合了職場工作流程的全方面實戰學習。 Python程式X AI工具API X Streamlit三方結合 開課時間課程時長 單元數 觀看次數
從品牌定位到爆款流量| 高效AI自媒體短影音創作實戰,https://courses.taiwanmds.com/product/information?p=94582ea75ade11efb3480242ac110002,"NT$2,488",全台第一堂教授透過 AI 高效打造爆款短影音，教你使用多種 AI 工具，讓你在 AI 時代下輕鬆打造個人短影音。 開課時間課程時長 單元數 觀看次數
Canva AI 圖文行銷全攻略：從基礎到實戰,https://courses.taiwanmds.com/product/information?p=cab4d34c457011efb3480242ac110002,"NT$2,980",🎯 您可以學習到：✅Canva 功能全方位應用✅Magic Studio AI 功能✅Canva X 社群行銷實戰✅Canva X  開課時間課程時長 單元數 觀看次數
2小時快速入門：Notion AI高效專案管理,https://courses.taiwanmds.com/product/information?p=8c976dec3d0611efb3480242ac110002,"NT$2,088",本課程針對 AI 初至中等經驗者 🧑‍💻，無需特定的背景知識或技能，讓您在短短兩小時內掌握如何使用 Notion Al 提高工作效率！🆙 🎯 課程特色：✅兩小時高效學習：無須任何先備知識，也可快速掌握 Notion AI 基本功能 ⚙️✅專案管理新視界：揭示如何利用 Notion AI 進行專案管理 📋✅深度客製化：跟據您的特定需求 ✨，教授您自行打造專屬的 Notion AI block 開課時間課程時長 單元數 觀看次數
零程式快速上手：ChatGPT X 電商輿情分析,https://courses.taiwanmds.com/product/information?p=479f04ab012b11efb3480242ac110002,"NT$2,388",本課程希望讓零程式基礎或是曾困擾於學習程式語言的學員，透過時下熱門的AI工具- ChatGPT 、職場必備工具Word、Excel ，即可實戰電商APP、Google Review 進行輿情資料的蒐集與分析，快速掌握輿情分析背後的商業價值、改善自身產品或服務，並制定對應的行銷策略。透過這堂課你可以：✅ 掌握電商營運四大關鍵要素✅ 以零基礎也能上手的方式，完成 ChatGPT X 舆情分析應用實戰✅ 透過 APP 和 Google Review 案例，進行消費者輿情蒐集與分析實戰 開課時間課程時長 單元數 觀看次數
簡報力大躍進！運用 Gamma 快速製作專業簡報,https://courses.taiwanmds.com/product/information?p=dd85f033012611efb3480242ac110002,"NT$2,388",本課程將帶您掌握新興簡報製作工具 - Gamma ，了解 Gamma 實際如何加速簡報製作，讓您能將 Gamma 運用於職場，快速產出一份精美且專業的簡報。 開課時間課程時長 單元數 觀看次數
新手必備: 用ChatGPT打造職場AI助手,https://courses.taiwanmds.com/product/information?p=3d44cf7e934511eeb3480242ac110002,NT$999,  開課時間課程時長 單元數 觀看次數
新手入門：ChatGPT 創作及 Midjourney 圖文應用,https://hahow.in/cr/chatgpt-learning,NT$999,  開課時間課程時長 單元數 觀看次數
ChatGPT x WordPress 不寫程式打造內容行銷利器,https://hahow.in/cr/wordpress-chatgpt,"NT$3,980",  開課時間課程時長 單元數 觀看次數
Streamlit x ChatGPT 快速打造資料分析網頁,https://hahow.in/cr/python-web-app,"NT$2,888",  開課時間課程時長 單元數 觀看次數
資料視覺化入門：玩轉 Excel 職場商用圖表,https://hahow.in/cr/excel-visualization,"NT$1,000",  開課時間課程時長 單元數 觀看次數
Python A/B測試：用數據優化銷售轉換率,https://hahow.in/cr/python-abtesting,"NT$2,888",  開課時間課程時長 單元數 觀看次數
動畫設計從零開始！AI 與 AE 新手入門課,https://hahow.in/cr/aiae-step01,"NT$2,688",  開課時間課程時長 單元數 觀看次數
顧客旅程工具應用：原來顧客和我想的不一樣,https://hahow.in/cr/marketing-cjmcxp,"NT$3,188",  開課時間課程時長 單元數 觀看次數
新手必學！最完整的 Excel、Google sheets 試算表實用技巧,https://hahow.in/cr/excel-googlesheets,"NT$1,000",  開課時間課程時長 單元數 觀看次數
Python 購物籃分析：多商品推薦與利潤策略,https://hahow.in/cr/python-basket,"NT$2,388",  開課時間課程時長 單元數 觀看次數
Excel Power BI 購物籃分析及視覺化實戰,https://hahow.in/cr/excel-powerbi,"NT$2,888",  開課時間課程時長 單元數 觀看次數
Python行銷資料科學：基礎語法入門最前線,https://hahow.in/cr/basic-python,"NT$1,480",  開課時間課程時長 單元數 觀看次數
Python 輿情應用趣：顧客樣貌分析攻略,https://hahow.in/cr/crawler-analysis,"NT$2,388",  開課時間課程時長 單元數 觀看次數
AI 行銷學：用 Python 機器學習創造商業新價值,https://hahow.in/cr/python-ml,"NT$3,888",  開課時間課程時長 單元數 觀看次數
Python 0 到 1 基礎商業數據分析實戰,https://hahow.in/cr/python0-1,"NT$3,188",  開課時間課程時長 單元數 觀看次數
Python 工業製程 0-1製程資料處理大師,https://hahow.in/cr/python-industry,"NT$2,500",  開課時間課程時長 單元數 觀看次數
顧客分類大師：Python x RFM 會員經營新觀點,https://hahow.in/cr/rfm-model,"NT$2,388",  開課時間課程時長 單元數 觀看次數
台科 EMBA 年年爆滿的一門 Word 課（A系列）,https://hahow.in/cr/tmr-word1,NT$950,  開課時間課程時長 單元數 觀看次數
台科 EMBA 年年爆滿的一門 Word 課（B+C 系列）,https://hahow.in/cr/tmr-word2,"NT$1,050",  開課時間課程時長 單元數 觀看次數
不寫程式的數據分析： Excel 商業分析實戰,https://hahow.in/cr/excel-data-analysis,"NT$2,388",  開課時間課程時長 單元數 觀看次數
